distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
50.0,direct,Barrett-Kok,,25.0,0.32098411714875263,0.05151540173088208,1.0,19.4116704208972,19.3615,1.9411670420897197e-05,1.93615e-05
50.0,one-repeater,Barrett-Kok,,12.5,0.5665546020894655,0.1604920585743763,1.0,9.074445019446879,9.1185,9.07444501944688e-06,9.1185e-06
50.0,direct,Single-click,0.05,25.0,0.32098411714875263,0.03184083470622085,0.95,31.406211841696056,31.66605,3.140621184169606e-05,3.166605e-05
50.0,one-repeater,Single-click,0.05,12.5,0.5665546020894655,0.05585299991607467,0.9033333333333332,26.599029683493356,26.29545,2.6599029683493355e-05,2.629545e-05
50.0,direct,Single-click,0.1,25.0,0.32098411714875263,0.06316651539513289,0.9,15.831172477135759,15.86705,1.583117247713576e-05,1.586705e-05
50.0,one-repeater,Single-click,0.1,12.5,0.5665546020894655,0.11010107924640558,0.8133333333333334,13.359280241250488,13.48985,1.3359280241250489e-05,1.3489850000000001e-05
50.0,direct,Single-click,0.2,25.0,0.32098411714875263,0.12427241472103048,0.8,8.0468380874776,8.0115,8.0468380874776e-06,8.0115e-06
50.0,one-repeater,Single-click,0.2,12.5,0.5665546020894655,0.21378247614983611,0.6533333333333334,6.736556695171087,6.7469,6.736556695171087e-06,6.7469e-06
100.0,direct,Barrett-Kok,,50.0,0.10303080346176416,0.005307673230988337,1.0,188.4064742647676,187.7012,0.0001884064742647676,0.0001877012
100.0,one-repeater,Barrett-Kok,,25.0,0.32098411714875263,0.05151540173088208,1.0,28.860895956091426,28.9418,2.8860895956091427e-05,2.89418e-05
100.0,direct,Single-click,0.05,50.0,0.10303080346176416,0.010276541980021476,0.95,97.30899770993882,97.5802,9.730899770993882e-05,9.758020000000001e-05
100.0,one-repeater,Single-click,0.05,25.0,0.32098411714875263,0.03184083470622085,0.9033333333333332,46.855273268167366,47.01655,4.685527326816736e-05,4.701655e-05
100.0,direct,Single-click,0.1,50.0,0.10303080346176416,0.020500007227733066,0.9,48.78047060623315,48.71305,4.878047060623315e-05,4.871305e-05
100.0,one-repeater,Single-click,0.1,25.0,0.32098411714875263,0.06316651539513289,0.8133333333333334,23.488605392780258,23.5724,2.3488605392780258e-05,2.3572399999999998e-05
100.0,direct,Single-click,0.2,50.0,0.10303080346176416,0.040787707526226596,0.8,24.51719061084758,24.3219,2.451719061084758e-05,2.43219e-05
100.0,one-repeater,Single-click,0.2,25.0,0.32098411714875263,0.12427241472103048,0.6533333333333334,11.80369390320606,11.8317,1.1803693903206061e-05,1.1831699999999999e-05
150.0,direct,Barrett-Kok,,75.0,0.03307125148830102,0.0005468538375012263,1.0,1828.6421917954588,1820.16395,0.0018286421917954588,0.0018201639500000002
150.0,one-repeater,Barrett-Kok,,37.5,0.18185502876824997,0.01653562574415051,1.0,90.46114452560978,90.6094,9.046114452560978e-05,9.06094e-05
150.0,direct,Single-click,0.05,75.0,0.03307125148830102,0.003304390879642596,0.95,302.62763590128304,303.4205,0.00030262763590128305,0.0003034205
150.0,one-repeater,Single-click,0.05,37.5,0.18185502876824997,0.018102824748104245,0.9033333333333332,82.60771323919937,81.67985,8.260771323919937e-05,8.167985000000001e-05
150.0,direct,Single-click,0.1,75.0,0.03307125148830102,0.0066033132209101794,0.9,151.43912859280712,151.72195,0.00015143912859280712,0.00015172195
150.0,one-repeater,Single-click,0.1,37.5,0.18185502876824997,0.036040293238766986,0.8133333333333334,41.36549540477873,41.35125,4.1365495404778724e-05,4.135125e-05
150.0,direct,Single-click,0.2,75.0,0.03307125148830102,0.01318475228832031,0.8,75.84518678336099,75.91575,7.584518678336098e-05,7.591575e-05
150.0,one-repeater,Single-click,0.2,37.5,0.18185502876824997,0.07141916144776794,0.6533333333333334,20.743508904591867,20.8014,2.0743508904591866e-05,2.08014e-05
200.0,direct,Barrett-Kok,,100.0,0.010615346461976673,5.634279025390034e-05,1.0,17748.49977244027,17806.136,0.017748499772440272,0.017806136
200.0,one-repeater,Barrett-Kok,,50.0,0.10303080346176416,0.005307673230988337,1.0,282.35904617260104,283.04705,0.00028235904617260105,0.00028304705
200.0,direct,Single-click,0.05,100.0,0.010615346461976673,0.001061252932246398,0.95,942.282437687365,947.0457,0.000942282437687365,0.0009470457
200.0,one-repeater,Single-click,0.05,50.0,0.10303080346176416,0.010276541980021476,0.9033333333333332,145.71220536261345,145.64665,0.00014571220536261343,0.00014564664999999999
200.0,direct,Single-click,0.1,100.0,0.010615346461976673,0.002121942436590257,0.9,471.2663184242156,475.26425,0.0004712663184242156,0.00047526425
200.0,one-repeater,Single-click,0.1,50.0,0.10303080346176416,0.020500007227733066,0.8133333333333334,72.91811687079168,73.04215,7.291811687079167e-05,7.304215e-05
200.0,direct,Single-click,0.2,100.0,0.010615346461976673,0.004241631161570358,0.8,235.75835849663434,236.4166,0.00023575835849663434,0.0002364166
200.0,one-repeater,Single-click,0.2,50.0,0.10303080346176416,0.040787707526226596,0.6533333333333334,36.52058131086914,36.64105,3.652058131086914e-05,3.664105e-05
